"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/eli/Stakken/src/Entry.cpp", "C++", 217, 0, 15, 65, 297
"/home/eli/Stakken/src/Entry.h", "C++", 13, 0, 1, 8, 22
"/home/eli/Stakken/src/Gameplay/Board.cpp", "C++", 145, 0, 14, 36, 195
"/home/eli/Stakken/src/Gameplay/Board.h", "C++", 30, 0, 0, 17, 47
"/home/eli/Stakken/src/Gameplay/Game.h", "C++", 99, 0, 3, 25, 127
"/home/eli/Stakken/src/Gameplay/Piece.cpp", "C++", 22, 0, 0, 9, 31
"/home/eli/Stakken/src/Gameplay/Piece.h", "C++", 37, 0, 0, 7, 44
"/home/eli/Stakken/src/Gameplay/PieceDefinitions.h", "C++", 236, 0, 0, 63, 299
"/home/eli/Stakken/src/Gameplay/Randomizers/xoroshiroRandomizer.cpp", "C++", 22, 0, 10, 11, 43
"/home/eli/Stakken/src/Gameplay/Randomizers/xoroshiroRandomizer.h", "C++", 8, 0, 0, 3, 11
"/home/eli/Stakken/src/Gameplay/RenderGame.cpp", "C++", 139, 0, 20, 57, 216
"/home/eli/Stakken/src/Gameplay/RenderGame.h", "C++", 31, 0, 1, 14, 46
"/home/eli/Stakken/src/Gameplay/Tile.h", "C++", 21, 0, 0, 2, 23
"/home/eli/Stakken/src/Main.cpp", "C++", 8, 0, 0, 3, 11
"/home/eli/Stakken/src/Systems/Assets/Assets.cpp", "C++", 14, 0, 0, 5, 19
"/home/eli/Stakken/src/Systems/Assets/Assets.h", "C++", 93, 0, 3, 32, 128
"/home/eli/Stakken/src/Systems/Assets/BGShader.cpp", "C++", 64, 0, 4, 21, 89
"/home/eli/Stakken/src/Systems/Assets/BGShader.h", "C++", 15, 0, 0, 3, 18
"/home/eli/Stakken/src/Systems/Assets/Font.cpp", "C++", 70, 0, 8, 20, 98
"/home/eli/Stakken/src/Systems/Assets/Font.h", "C++", 28, 0, 1, 9, 38
"/home/eli/Stakken/src/Systems/Assets/LinearTexture.cpp", "C++", 20, 0, 3, 6, 29
"/home/eli/Stakken/src/Systems/Assets/LinearTexture.h", "C++", 9, 0, 0, 2, 11
"/home/eli/Stakken/src/Systems/Assets/Sound.cpp", "C++", 16, 0, 0, 6, 22
"/home/eli/Stakken/src/Systems/Assets/Sound.h", "C++", 11, 0, 0, 3, 14
"/home/eli/Stakken/src/Systems/Assets/Texture.cpp", "C++", 26, 0, 2, 8, 36
"/home/eli/Stakken/src/Systems/Assets/Texture.h", "C++", 10, 0, 0, 3, 13
"/home/eli/Stakken/src/Systems/Configuration.h", "C++", 25, 0, 0, 10, 35
"/home/eli/Stakken/src/Systems/Identity.h", "C++", 25, 0, 0, 5, 30
"/home/eli/Stakken/src/Systems/Input/InputBuffer.h", "C++", 18, 0, 1, 5, 24
"/home/eli/Stakken/src/Systems/Input/InputProfile.h", "C++", 102, 0, 6, 26, 134
"/home/eli/Stakken/src/Systems/Input/KeyboardMapper.h", "C++", 75, 0, 5, 21, 101
"/home/eli/Stakken/src/Systems/Rendering/Renderer.cpp", "C++", 391, 0, 28, 103, 522
"/home/eli/Stakken/src/Systems/Rendering/Renderer.h", "C++", 24, 0, 0, 11, 35
"/home/eli/Stakken/src/Systems/Rendering/ScreenQuad.cpp", "C++", 28, 0, 0, 10, 38
"/home/eli/Stakken/src/Systems/Rendering/ScreenQuad.h", "C++", 5, 0, 0, 0, 5
"/home/eli/Stakken/src/Systems/Rendering/Shader.cpp", "C++", 93, 0, 2, 28, 123
"/home/eli/Stakken/src/Systems/Rendering/Shader.h", "C++", 17, 0, 0, 4, 21
"/home/eli/Stakken/src/Systems/Rendering/gl3w.c", "C", 0, 784, 27, 37, 848
"/home/eli/Stakken/src/Systems/TetrisAction.h", "C++", 12, 0, 1, 1, 14
"/home/eli/Stakken/src/Systems/UI/BaseWidgets.cpp", "C++", 71, 0, 0, 15, 86
"/home/eli/Stakken/src/Systems/UI/BaseWidgets.h", "C++", 10, 0, 0, 2, 12
"/home/eli/Stakken/src/Systems/UI/Element.h", "C++", 68, 0, 3, 18, 89
"/home/eli/Stakken/src/Systems/UI/Options.h", "C++", 153, 0, 8, 46, 207
"/home/eli/Stakken/src/Systems/UI/UI.cpp", "C++", 86, 0, 5, 23, 114
"/home/eli/Stakken/src/Systems/UI/UI.h", "C++", 17, 0, 3, 8, 28
"Total", "-", 2624, 784, 174, 811, 4393
